fname,location,year,camera,path
74.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/74.jpg
75.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/75.jpg
76.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/76.jpg
77.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/77.jpg
78.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/78.jpg
79.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/79.jpg
80.jpg,munich,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/80.jpg
81.jpg,munich,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/81.jpg
82.jpg,berlin,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/82.jpg
83.jpg,munich,2022,iPhone 11,/Users/lylaatta/Documents/GitHub/LylaAtta.github.io/assets/img/photos/all/83.jpg
